source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
KIWI,VOĆE I VOĆNI PROIZVOD,2,,,review,,40.0,1.0,0.0,9.0,0.0,
DINJA,VOĆE I VOĆNI PROIZVOD,2,,,review,,24.0,1.0,0.0,5.3,0.0,
LUBENICA,VOĆE I VOĆNI PROIZVOD,2,,,review,,21.0,0.4,0.0,5.3,0.0,
SMOKVE - sveže,VOĆE I VOĆNI PROIZVOD,2,,,review,,41.0,1.3,0.0,9.5,0.0,
SMOKVE - sušene,VOĆE I VOĆNI PROIZVOD,2,,,review,,213.0,3.6,0.0,52.9,0.0,
MASLINE iz konzerve,VOĆE I VOĆNI PROIZVOD,2,,,review,,103.0,0.9,11.0,0.0,0.0,
KIKIRIKI prženi,VOĆE I VOĆNI PROIZVOD,2,,,review,,570.0,24.3,49.0,8.6,0.0,
KESTEN sirov,VOĆE I VOĆNI PROIZVOD,2,,,review,,170.0,2.0,2.7,36.6,0.0,
LEŠNIK suvi,VOĆE I VOĆNI PROIZVOD,2,,,review,,701.0,14.0,69.0,6.0,0.0,persun_suvi:peršun suvi:0.73
ORAH suvi,VOĆE I VOĆNI PROIZVOD,2,,,review,,649.0,15.8,61.4,8.8,0.0,kopar_suvi:kopar suvi:0.74
SEMENKE OD BUNDEVE,VOĆE I VOĆNI PROIZVOD,2,,,review,,554.0,29.0,46.0,15.0,0.0,semenke_bundeve:semenke bundeve:0.91
SEMENKE OD SUNCOKRETA,VOĆE I VOĆNI PROIZVOD,2,,,review,,560.0,24.0,47.0,20.0,0.0,
MAK sušeni,VOĆE I VOĆNI PROIZVOD,3,,,review,,547.0,16.7,43.0,23.0,0.0,
BLITVA,POVRĆE I PROIZVODI OD POVRĆA,3,blitva,blitva,applied,exact,12.0,1.3,0.1,1.5,0.0,blitva:blitva:1.00
KELJ lisnati,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,41.0,4.0,1.0,4.0,0.0,
"KUPUS - beli, svež",POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,22.0,1.9,0.1,3.8,0.0,
KISELI KUPUS,POVRĆE I PROIZVODI OD POVRĆA,3,kiseli_kupus,kiseli kupus,applied,exact,12.0,2.0,0.0,1.0,0.0,kiseli_kupus:kiseli kupus:1.00 | beli_kupus:beli kupus:0.82 | kiseli_kupus_seckani:kiseli kupus seckani:0.75
PERŠUN,POVRĆE I PROIZVODI OD POVRĆA,3,persun,peršun,applied,exact,49.0,1.7,0.0,11.3,0.0,persun:peršun:1.00
PERŠUNOV LIST,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,20.0,4.0,0.0,1.0,0.0,
ZELENA SALATA,POVRĆE I PROIZVODI OD POVRĆA,3,zelena_salata,zelena salata,applied,exact,14.0,1.1,0.1,2.2,0.0,zelena_salata:zelena salata:1.00
SPANAč,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,12.0,2.0,0.0,1.0,0.0,
KARFIOL,POVRĆE I PROIZVODI OD POVRĆA,3,karfiol,karfiol,applied,exact,25.0,3.2,0.2,2.7,0.0,karfiol:karfiol:1.00
GRAŠAK mladi,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,67.0,5.8,0.4,10.6,0.0,grasak_kuvani:grašak kuvani:0.72
GRAŠAK smrznuti,POVRĆE I PROIZVODI OD POVRĆA,3,,,review,,53.0,5.7,0.4,7.5,0.0,grasak_zamrznut:grašak zamrznut:0.87
